13;79;2.1;28:34:00;0;0;0.90
14;80;2.9;20:41;37;0;2.00
15;79;3.5;17:09;37;0;3.20
16;79;3.8;15:47;55;0;4.50
17;81;4.1;14:38;55;0;5.80
18;83;4.4;13:38;67;0;7.40
19;85;4.5;13:20;73;0;9.00
20;86;4.9;12:15;75;0;11.00
21;88;5.5;10:55;78;0;13.10
22;89;6.0;10:00;78;0;15.40
23;91;6.2;09:41;77;0;17.60
24;93;6.4;09:23;78;0;19.80
25;95;6.4;09:23;78;0;21.90
26;97;6.3;09:31;78;0;24.10
27;99;6.4;09:23;78;0;26.50
28;101;6.6;09:05;78;0;28.80
29;103;6.9;08:42;79;0;31.10
30;104;7.0;08:34;80;0;33.57
31;106;7.0;08:34;80;0;36.00
32;108;6.9;08:42;79;0;38.20
33;109;6.5;09:14;79;0;40.20
34;111;6.2;09:41;78;0;42.20
35;113;6.1;09:50;78;0;44.20
36;115;6.1;09:50;78;0;46.20
37;117;6.1;09:50;78;0;48.30
38;119;6.4;09:23;77;0;50.20
39;120;6.5;09:14;77;0;52.20
40;121;6.7;08:57;77;0;54.20
41;123;6.7;08:57;77;0;56.20
42;124;6.7;08:57;76;0;58.50
43;125;6.6;09:05;76;0;60.60
44;126;6.4;09:23;76;0;62.80
45;127;6.1;09:50;76;0;64.80
46;128;6.1;09:50;76;0;66.80
47;129;6.0;10:00;76;0;68.70
48;129;6.1;09:50;76;0;70.60
49;130;6.2;09:41;76;0;72.40
50;131;6.4;09:23;77;0;74.30
51;132;6.5;09:14;79;0;76.20
52;132;6.6;09:05;80;0;78.40
53;133;6.8;08:49;79;0;80.40
54;134;6.9;08:42;80;0;82.50
55;134;6.7;08:57;79;0;84.80
56;135;6.7;08:57;79;0;86.90
57;135;6.8;08:49;80;142;89.00
58;136;6.5;09:14;80;142;91.20
59;136;6.7;08:57;80;142;93.40
60;136;6.9;08:42;80;142;95.40
61;136;7.0;08:34;80;142;97.70
62;136;7.1;08:27;80;142;100.00
63;136;7.1;08:27;80;142;102.10
64;136;7.2;08:20;80;142;104.40
65;136;7.2;08:20;80;142;106.70
66;136;7.2;08:20;80;142;108.90
67;136;7.3;08:13;80;141;111.20
68;136;7.3;08:13;78;141;113.40
69;136;7.3;08:13;77;141;115.80
70;136;7.4;08:06;77;141;117.80
71;136;7.4;08:06;77;141;119.80
72;136;7.4;08:06;78;141;122.10
73;137;7.4;08:06;78;140;124.00
74;137;7.5;08:00;78;140;126.20
75;138;7.5;08:00;78;140;128.50
76;138;7.5;08:00;78;140;130.80
77;139;7.5;08:00;78;140;132.90
78;140;7.5;08:00;69;139;135.10
79;141;7.5;08:00;69;139;137.20
80;141;7.5;08:00;69;139;139.20
81;142;7.5;08:00;65;139;141.00
82;142;7.5;08:00;63;139;143.00
83;143;7.5;08:00;63;139;145.00
84;143;7.5;08:00;63;138;146.90
85;144;7.4;08:06;63;138;148.90
86;144;7.4;08:06;67;138;150.90
87;144;7.4;08:06;67;138;152.60
88;145;7.3;08:13;67;137;154.40
89;145;7.3;08:13;67;137;156.40
90;145;7.3;08:13;67;137;158.40
91;145;7.3;08:13;67;137;160.20
92;144;7.3;08:13;67;137;162.10
93;144;7.3;08:13;67;137;164.00
94;144;7.3;08:13;67;137;166.00
95;144;7.2;08:20;67;137;168.00
96;144;7.2;08:20;67;137;170.00
97;144;7.1;08:27;67;137;172.00
98;144;7.1;08:27;67;137;173.80
99;144;7.1;08:27;67;136;175.80
100;143;7.1;08:27;67;136;177.80
101;143;7.1;08:27;67;136;179.70
102;143;7.1;08:27;67;136;181.60
103;143;7.0;08:34;67;136;183.50
104;143;6.9;08:42;58;136;185.30
105;143;6.8;08:49;58;137;186.80
106;143;6.7;08:57;48;137;187.90
107;143;6.6;09:05;47;137;189.00
108;143;6.4;09:23;47;137;190.00
109;142;6.3;09:31;47;137;190.90
110;142;6.2;09:41;47;137;191.70
111;141;5.9;10:10;47;137;192.60
112;140;5.7;10:32;54;137;193.50
113;139;5.6;10:43;56;137;194.60
114;138;5.5;10:55;56;137;195.70
115;137;5.4;11:07;58;137;197.10
116;136;5.3;11:19;58;137;198.60
117;135;5.2;11:32;58;137;200.10
118;135;5.2;11:32;58;137;201.30
119;134;5.1;11:46;58;137;202.70
120;133;5.1;11:46;57;138;204.00
121;133;5.1;11:46;55;138;205.20
122;132;5.1;11:46;55;138;206.60
123;131;5.1;11:46;52;138;207.90
124;131;5.1;11:46;52;138;209.30
125;130;5.1;11:46;52;138;210.60
126;130;5.1;11:46;50;138;211.90
127;130;5.1;11:46;50;138;213.40
128;129;5.1;11:46;0;138;214.80
129;129;5.1;11:46;0;138;216.40
130;129;5.1;11:46;0;138;217.90
131;128;5.1;11:46;0;138;219.30
132;127;5.1;11:46;0;138;220.80
133;126;5.1;11:46;0;139;222.20
134;125;5.0;12:00;0;139;223.50
135;124;5.0;12:00;0;139;224.80
136;123;5.0;12:00;0;139;226.10
137;122;5.0;12:00;0;139;227.40
138;121;5.1;11:46;0;139;228.80
139;120;5.1;11:46;0;139;230.30
140;120;5.2;11:32;0;139;232.00
141;119;5.2;11:32;0;139;233.80
142;118;5.3;11:19;0;139;235.70
143;118;5.4;11:07;54;139;237.90
144;117;5.4;11:07;64;139;239.90
145;117;5.5;10:55;69;140;241.90
146;117;5.6;10:43;72;140;243.90
147;118;5.6;10:43;73;140;246.00
148;118;5.7;10:32;75;140;248.10
149;119;5.9;10:10;75;140;250.00
150;120;6.0;10:00;76;140;251.90
151;120;6.3;09:31;76;139;253.90
